seriesAcronym,acronym,city,country,startDate,endDate,year,url
BTW,BTW 2021,Dresden,Germany,2021-01-01,2021-01-01,2021,http://portal.confref.org/list/btw2021
SCDM,SCDM 2020,Langkawi,Malaysia,2020-01-22,2020-01-23,2020,http://portal.confref.org/list/scdm2020
SWQD,SWQD 2020,Vienna,Austria,2020-01-14,2020-01-17,2020,http://portal.confref.org/list/swqd2020
I4CS,I4CS 2020,Bhubaneswar,India,2020-01-12,2020-01-14,2020,http://portal.confref.org/list/i4cs2020
ICDCIT,ICDCIT 2020,Bhubaneswar,India,2020-01-09,2020-01-12,2020,http://portal.confref.org/list/icdcit0
MMM,MMM 2020,Daejeon,Korea (Republic of),2020-01-05,2020-01-08,2020,http://portal.confref.org/list/mmm2020
LFCS,LFCS 2020,"Deerfield Beach, FL",USA,2020-01-04,2020-01-07,2020,http://portal.confref.org/list/lfcs2020
WEA,WEA 2020,Catania,Italy,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/wea2020
VISIGRAPP,VISIGRAPP 2020,Valletta,Malta,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/visigrapp2020
VISAPP,VISAPP 2020,Valletta,Malta,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/visapp2020
SODA,SODA 2020,Salt Lake City,United States of America,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/soda2020
PROGRAMMING,PROGRAMMING 2020,Porto,Portugal,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/programming2020
LREC,LREC 2020,Marseille,France,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/lrec2020
KR,KR 2020,Rhodes,Greece,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/kr2020
IVAPP,IVAPP 2020,Valletta,Malta,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/ivapp2020
ISAIM,ISAIM 2020,Fort Lauderdale,USA,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/isaim2020
IPRES,IPRES 2020,Beijing,People's Republic of China,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/ipres2020
HPSR,HPSR 2020,Newark,USA,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/hpsr2020
GRAPP,GRAPP 2020,Valletta,Malta,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/grapp2020
ECIR,ECIR 2020,Lisbon,Portugal,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/ecir2020
DIGRA,DIGRA 2020,Tampere,Finland,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/digra2020
CIKM,CIKM 2020,Galway,Ireland,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/cikm2020
APBC,APBC 2020,Seoul,South Korea,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/apbc2020
BDCPS,BDCPS 2019,Shenyang,China,2019-12-28,2019-12-29,2019,http://portal.confref.org/list/bdcps2019
MedPRAI,MedPRAI 2019,Istanbul,Turkey,2019-12-22,2019-12-23,2019,http://portal.confref.org/list/medprai2019
SGAI,SGAI 2019,Cambridge,United Kingdom,2019-12-17,2019-12-19,2019,http://portal.confref.org/list/sgai2019
PREMI,PREMI 2019,Tezpur,India,2019-12-17,2019-12-20,2019,http://portal.confref.org/list/premi2019
BDA,BDA 2019,Ahmedabad,India,2019-12-17,2019-12-20,2019,http://portal.confref.org/list/bigda2019
SUM,SUM 2019,Compiègne,France,2019-12-16,2019-12-18,2019,http://portal.confref.org/list/sum2019a
IMACC,IMACC 2019,Oxford,United Kingdom,2019-12-16,2019-12-18,2019,http://portal.confref.org/list/ima2019
ICISS,ICISS 2019,Hyderabad,India,2019-12-16,2019-12-20,2019,http://portal.confref.org/list/iciss2019
CONFENIS,CONFENIS 2019,Prague,Czech Republic,2019-12-16,2019-12-17,2019,http://portal.confref.org/list/confenis2019
NSS,NSS 2019,Sapporo,Japan,2019-12-15,2019-12-18,2019,http://portal.confref.org/list/nss2019
INDOCRYPT,INDOCRYPT 2019,Hyderabad,India,2019-12-15,2019-12-18,2019,http://portal.confref.org/list/indocrypt2019
ICIS,ICIS 2019,Munich,United States of America,2019-12-15,2019-12-18,2019,http://portal.confref.org/list/icis2019
COCOA,COCOA 2019,Xiamen,China,2019-12-13,2019-12-15,2019,http://portal.confref.org/list/cocoa2019
BI,BI 2019,Haikou,China,2019-12-13,2019-12-15,2019,http://portal.confref.org/list/brain2019a
ICONIP,ICONIP 2019,"Sydney, NSW",Australia,2019-12-12,2019-12-15,2019,http://portal.confref.org/list/iconip2019
e-Democracy,e-Democracy 2019,Athens,Greece,2019-12-12,2019-12-13,2019,http://portal.confref.org/list/edemocracy2019
CSDM,CSDM 2019,paris,France,2019-12-12,2019-12-13,2019,http://portal.confref.org/list/csdm2019
FSTTCS,FSTTCS 2019,Bombay,India,2019-12-11,2019-12-13,2019,http://portal.confref.org/list/fsttcs2019
WINE,WINE 2019,New York City,United States of America,2019-12-10,2019-12-12,2019,http://portal.confref.org/list/wine2019
COMPLEX NETWORKS,COMPLEX NETWORKS 2019,Lisbon,Portugal,2019-12-10,2019-12-12,2019,http://portal.confref.org/list/iwcna2019
COMPLEXNETWORKS,COMPLEXNETWORKS 2019,Lisbon,Portugal,2019-12-10,2019-12-12,2019,http://portal.confref.org/list/complexnetworks2019
TPNC,TPNC 2019,Kingston,Canada,2019-12-09,2019-12-11,2019,http://portal.confref.org/list/tpnc2019
MIDDLEWARE,MIDDLEWARE 2019,Davis,USA,2019-12-09,2019-12-13,2019,http://portal.confref.org/list/middleware2019
CONEXT,CONEXT 2019,Orlando,United States of America,2019-12-09,2019-12-12,2019,http://portal.confref.org/list/conext2019
ACSAC,ACSAC 2019,San Juan,USA,2019-12-09,2019-12-13,2019,http://portal.confref.org/list/acsac2019
ISAAC,ISAAC 2019,Shanghai,People's Republic of China,2019-12-08,2019-12-11,2019,http://portal.confref.org/list/isaac2019
ASIACRYPT,ASIACRYPT 2019,Kobe,Japan,2019-12-08,2019-12-12,2019,http://portal.confref.org/list/asiacrypt2019
IES,IES 2019,Tottori,Japan,2019-12-06,2019-12-08,2019,http://portal.confref.org/list/ies2019a
A2C,A2C 2019,Dakar,Senegal,2019-12-05,2019-12-07,2019,http://portal.confref.org/list/a2c2019
INTSYS,INTSYS 2019,Braga,Brazil,2019-12-04,2019-12-06,2019,http://portal.confref.org/list/intsys2019
SPACE,SPACE 2019,Gandhinagar,India,2019-12-03,2019-12-07,2019,http://portal.confref.org/list/space2019
UCC,UCC 2019,Auckland,New Zealand,2019-12-02,2019-12-05,2019,http://portal.confref.org/list/ucc2019
MPES,MPES 2019,"Perth, WA",Australia,2019-12-02,2019-12-04,2019,http://portal.confref.org/list/mpes2019
INSCI,INSCI 2019,Perpignan,France,2019-12-02,2019-12-05,2019,http://portal.confref.org/list/insci2019
IFM,IFM 2019,Bergen,Norway,2019-12-02,2019-12-06,2019,http://portal.confref.org/list/ifm2019
ICITL,ICITL 2019,Tromsø,Norway,2019-12-02,2019-12-05,2019,http://portal.confref.org/list/icitl2019
CITI,CITI 2019,Guayaquil,Ecuador,2019-12-02,2019-12-05,2019,http://portal.confref.org/list/citi2019
BDC,BDC 2019,Auckland,New Zealand,2019-12-02,2019-12-05,2019,http://portal.confref.org/list/bdc2019
AUSDM,AUSDM 2019,Adelaide,Australia,2019-12-02,2019-12-05,2019,http://portal.confref.org/list/ausdm2019
AUSAI,AUSAI 2019,Adelaide,Australia,2019-12-02,2019-12-05,2019,http://portal.confref.org/list/ausai2019
APSEC,APSEC 2019,Putrajaya,Malaysia,2019-12-02,2019-12-02,2019,http://portal.confref.org/list/apsec2019
TCC,TCC 2019,Nuremberg,Germany,2019-12-01,2019-12-05,2019,http://portal.confref.org/list/tcc2019
ICERA,ICERA 2019,Thai Nguyen,Vietnam,2019-12-01,2019-12-02,2019,http://portal.confref.org/list/icera2019
CSS,CSS 2019,Guangzhou,People's Republic of China,2019-12-01,2019-12-03,2019,http://portal.confref.org/list/css2019
APLAS,APLAS 2019,Nusa Dua,Indonesia,2019-12-01,2019-12-04,2019,http://portal.confref.org/list/aplas2019
KSS,KSS 2019,Da Nang,Vietnam,2019-11-29,2019-12-01,2019,http://portal.confref.org/list/kss2019
PCI,PCI 2019,Nicosia,Cyprus,2019-11-28,2019-11-30,2019,http://portal.confref.org/list/pci2019
VJ,VJ 2019,Aveiro,Portugal,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/vj2019
TICEC,TICEC 2019,Cuenca,Ecuador,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/ticec0a
SETTA,SETTA 2019,Shanghai,People's Republic of China,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/setta2019a
PROFES,PROFES 2019,Barcelona,Spain,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/profes2019
PoEM,PoEM 2019,Luxembourg,Luxembourg,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/poem2019
IFIP8-1,IFIP8-1 2019,Luxembourg,Luxembourg,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/ifip8-12019
GALA,GALA 2019,Athens,Greece,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/gala2019
FNSS,FNSS 2019,Melbourne,Australia,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/fnss2019
FDSE,FDSE 2019,Nha Trang City,Vietnam,2019-11-27,2019-11-29,2019,http://portal.confref.org/list/fdse2019
WISE,WISE 2019,Hong Kong,People's Republic of China,2019-11-26,2019-11-30,2019,http://portal.confref.org/list/wise2019
SOCROB,SOCROB 2019,Madrid,Spain,2019-11-26,2019-11-29,2019,http://portal.confref.org/list/socrob2019
MUM,MUM 2019,Pisa,Italy,2019-11-26,2019-11-29,2019,http://portal.confref.org/list/mum2019
ISPEC,ISPEC 2019,Kuala Lumpur,Malaysia,2019-11-26,2019-11-28,2019,http://portal.confref.org/list/ispec2019
SAP,SAP 2019,Skukuza,South Africa,2019-11-25,2019-11-26,2019,http://portal.confref.org/list/sap2019
PE-WASUN,PE-WASUN 2019,Miami Beach,USA,2019-11-25,2019-11-29,2019,http://portal.confref.org/list/pe-wasun2019
MSWIM,MSWIM 2019,Miami Beach,USA,2019-11-25,2019-11-29,2019,http://portal.confref.org/list/mswim2019
MOBIWAC,MOBIWAC 2019,Miami Beach,USA,2019-11-25,2019-11-29,2019,http://portal.confref.org/list/mobiwac2019
CAJG,CAJG 2019,Sousse,Tunisia,2019-11-25,2019-11-28,2019,http://portal.confref.org/list/cajg2019
ATIS,ATIS 2019,Tamil Nadul,India,2019-11-22,2019-11-24,2019,http://portal.confref.org/list/atis2019
IWAMA,IWAMA 2019,Plymouth,United Kingdom,2019-11-21,2019-11-22,2019,http://portal.confref.org/list/iwama2019
EMENA-ISTL,EMENA-ISTL 2019,Marrakech,Morocco,2019-11-21,2019-11-23,2019,http://portal.confref.org/list/emena-istl2019
ADMA,ADMA 2019,Dalian,People's Republic of China,2019-11-21,2019-11-23,2019,http://portal.confref.org/list/adma2019
SOCC,SOCC 2019,Santa Cruz,USA,2019-11-20,2019-11-23,2019,http://portal.confref.org/list/socc2019
EHEALTH,EHEALTH 2019,Marseille,France,2019-11-20,2019-11-23,2019,http://portal.confref.org/list/ehealth2019
CONTEXT,CONTEXT 2019,Trento,Italy,2019-11-20,2019-11-22,2019,http://portal.confref.org/list/context2019
AINL,AINL 2019,Tartu,Estonia,2019-11-20,2019-11-22,2019,http://portal.confref.org/list/ainl2019
KCAP,KCAP 2019,Marina Del Rey,USA,2019-11-19,2019-11-21,2019,http://portal.confref.org/list/kcap2019
IVIC,IVIC 2019,Bangi,Malaysia,2019-11-19,2019-11-21,2019,http://portal.confref.org/list/ivic2019
ICIDS,ICIDS 2019,Little Cottonwood Canyon,USA,2019-11-19,2019-11-22,2019,http://portal.confref.org/list/icids2019
ICDSME,ICDSME 2019,Penang,Malaysia,2019-11-19,2019-11-21,2019,http://portal.confref.org/list/icdsme2019
HTTF,HTTF 2019,Nottingham,UK,2019-11-19,2019-11-20,2019,http://portal.confref.org/list/httf2019
DLFM,DLFM 2019,The Hague,The Netherlands,2019-11-19,2019-11-19,2019,http://portal.confref.org/list/dlfm2019
AIIA,AIIA 2019,Rende,Italy,2019-11-19,2019-11-22,2019,http://portal.confref.org/list/aiia2019
SocInfo,SocInfo 2019,Doha,Qatar,2019-11-18,2019-11-21,2019,http://portal.confref.org/list/socinfo2019
PSIVT,PSIVT 2019,Sydney,Australia,2019-11-18,2019-11-22,2019,http://portal.confref.org/list/psivt2019
NORDSEC,NORDSEC 2019,Aalborg,Denmark,2019-11-18,2019-11-20,2019,http://portal.confref.org/list/nordsec2019
ISSEP,ISSEP 2019,Larnaca,Cyprus,2019-11-18,2019-11-20,2019,http://portal.confref.org/list/issep2019
ICSOB,ICSOB 2019,Jyväskylä,Finland,2019-11-18,2019-11-20,2019,http://portal.confref.org/list/icsob2019
CSONET,CSONET 2019,Ho Chi Minh City,Vietnam,2019-11-18,2019-11-20,2019,http://portal.confref.org/list/csonet2019
ADHOCNETS,ADHOCNETS 2019,Queenstown,New Zealand,2019-11-18,2019-11-21,2019,http://portal.confref.org/list/adhocnets2019a
SIGGRAPHA,SIGGRAPHA 2019,Brisbane,Australia,2019-11-17,2019-11-20,2019,http://portal.confref.org/list/siggrapha2019
SC,SC 2019,Denver,United States of America,2019-11-17,2019-11-19,2019,http://portal.confref.org/list/sc2019
MIWAI,MIWAI 2019,Kuala Lumpur,Malaysia,2019-11-17,2019-11-19,2019,http://portal.confref.org/list/miwai2019
ACML,ACML 2019,Nagoya,Japan,2019-11-17,2019-11-19,2019,http://portal.confref.org/list/acml2019
JHC80,JHC80 2019,Beijing,People's Republic of China,2019-11-15,2019-11-15,2019,http://portal.confref.org/list/jh802019
FCS,FCS 2019,Xi'an,People's Republic of China,2019-11-15,2019-11-17,2019,http://portal.confref.org/list/fcs2019
VRCAI,VRCAI 2019,Brisbane,Australia,2019-11-14,2019-11-16,2019,http://portal.confref.org/list/vrcai2019
IDEAL,IDEAL 2019,Manchester,United Kingdom,2019-11-14,2019-11-16,2019,http://portal.confref.org/list/ideal2019
H-WORKLOAD,H-WORKLOAD 2019,Rome,Italy,2019-11-14,2019-11-15,2019,http://portal.confref.org/list/hworkload2019
CECC,CECC 2019,Munich,United States of America,2019-11-14,2019-11-15,2019,http://portal.confref.org/list/cecc2019
HOTNETS,HOTNETS 2019,Princeton,United States of America,2019-11-13,2019-11-15,2019,http://portal.confref.org/list/hotnets2019
CLIC-IT,CLIC-IT 2019,Bari,Italy,2019-11-13,2019-11-15,2019,http://portal.confref.org/list/clic-it2019
AMI,AMI 2019,Rome,Italy,2019-11-13,2019-11-15,2019,http://portal.confref.org/list/ami2019
VRST,VRST 2019,Parramatta,Australia,2019-11-12,2019-11-15,2019,http://portal.confref.org/list/vrst2019
iSCI,iSCI 2019,Guangzhou,People's Republic of China,2019-11-12,2019-11-15,2019,http://portal.confref.org/list/isci12019
DependSys,DependSys 2019,Guangzhou,People's Republic of China,2019-11-12,2019-11-15,2019,http://portal.confref.org/list/dependsys2019
WPES,WPES 2019,London,United Kingdom,2019-11-11,2019-11-11,2019,http://portal.confref.org/list/wpes2019
SECSR,SECSR 2019,London,United Kingdom,2019-11-11,2019-11-11,2019,http://portal.confref.org/list/secsr2019
IWEC,IWEC 2019,Arequipa,Peru,2019-11-11,2019-11-15,2019,http://portal.confref.org/list/iwec2019
IDDM,IDDM 2019,Lviv,Ukraine,2019-11-11,2019-11-13,2019,http://portal.confref.org/list/iddm2019
CCS,CCS 2019,London,United Kingdom,2019-11-11,2019-11-15,2019,http://portal.confref.org/list/ccs2019
TABLETOP,TABLETOP 2019,Daejeon,South Korea,2019-11-10,2019-11-13,2019,http://portal.confref.org/list/tabletop2019
SENSYS,SENSYS 2019,New York City,United States of America,2019-11-10,2019-11-14,2019,http://portal.confref.org/list/sensys2019
ICECCS,ICECCS 2019,Guangzhou,People's Republic of China,2019-11-10,2019-11-13,2019,http://portal.confref.org/list/iceccs2019
GeoMEast,GeoMEast 2019,Egypt,Egypt,2019-11-10,2019-11-15,2019,http://portal.confref.org/list/geomeast2019
PRCV,PRCV 2019,Xi'an,People's Republic of China,2019-11-08,2019-11-11,2019,http://portal.confref.org/list/prcv2019
3PGCIC,3PGCIC 2019,Antwerp,Belgium,2019-11-07,2019-11-09,2019,http://portal.confref.org/list/pgcic2019
ICAI,ICAI 2019,Madrid,Spain,2019-11-07,2019-11-09,2019,http://portal.confref.org/list/icai22019
EDGE,EDGE 2019,Arlington,United States of America,2019-11-07,2019-11-09,2019,http://portal.confref.org/list/edge2019
BWCCA,BWCCA 2019,Antwerp,Belgium,2019-11-07,2019-11-09,2019,http://portal.confref.org/list/bwcca2019
RTNS,RTNS 2019,Toulouse,France,2019-11-06,2019-11-08,2019,http://portal.confref.org/list/rtns2019
ICRC,ICRC 2019,San Mateo,USA,2019-11-06,2019-11-08,2019,http://portal.confref.org/list/icrc2019
BNAIC,BNAIC 2019,Brussels,Belgium,2019-11-06,2019-11-08,2019,http://portal.confref.org/list/bnaic2019
ICFEM,ICFEM 2019,Shenzhen,People's Republic of China,2019-11-05,2019-11-09,2019,http://portal.confref.org/list/icfem2019
GIS,GIS 2019,Chicago,United States of America,2019-11-05,2019-11-08,2019,http://portal.confref.org/list/gis2019
WITCOM,WITCOM 2019,Merida,Mexico,2019-11-04,2019-11-08,2019,http://portal.confref.org/list/witcom2019
ISTAR,ISTAR 2019,Salvador,Brazil,2019-11-04,2019-11-04,2019,http://portal.confref.org/list/istar2019
ISMIR,ISMIR 2019,Delft,Netherlands,2019-11-04,2019-11-08,2019,http://portal.confref.org/list/ismir2019
ICADL,ICADL 2019,Kuala Lumpur,Malaysia,2019-11-04,2019-11-07,2019,http://portal.confref.org/list/icadl2019
ER,ER 2019,Salvador,Brazil,2019-11-04,2019-11-07,2019,http://portal.confref.org/list/er2019
SIGUCCS,SIGUCCS 2019,New Orleans,United States of America,2019-11-03,2019-11-06,2019,http://portal.confref.org/list/siguccs2019
CIKM,CIKM 2019,Beijing,People's Republic of China,2019-11-03,2019-11-07,2019,http://portal.confref.org/list/cikm2019
ICTAC,ICTAC 2019,Hammamet,Tunisia,2019-10-31,2019-11-04,2019,http://portal.confref.org/list/ictac2019
ICICCT,ICICCT 2019,Istanbul City,Turkey,2019-10-30,2019-10-31,2019,http://portal.confref.org/list/icicct2019
GAMESEC,GAMESEC 2019,Stockholm,Sweden,2019-10-30,2019-11-01,2019,http://portal.confref.org/list/gamesec2019
AsiaSim,AsiaSim 2019,Singapore,Singapore,2019-10-30,2019-11-01,2019,http://portal.confref.org/list/asiasim2019
WEBMEDIA,WEBMEDIA 2019,Rio de Janeiro,Brazil,2019-10-29,2019-11-01,2019,http://portal.confref.org/list/webmedia2019
NORCHIP,NORCHIP 2019,Helsinki,Finland,2019-10-29,2019-10-30,2019,http://portal.confref.org/list/norchip2019
SBQS,SBQS 2019,Fortaleza,Brazil,2019-10-28,2019-11-01,2019,http://portal.confref.org/list/sbqs2019
PRIMA,PRIMA 2019,Turin,Italy,2019-10-28,2019-10-31,2019,http://portal.confref.org/list/prima2019
MTSR,MTSR 2019,Rome,Italy,2019-10-28,2019-10-31,2019,http://portal.confref.org/list/mtsr2019
MIG,MIG 2019,Newcastle upon Tyne,UK,2019-10-28,2019-10-30,2019,http://portal.confref.org/list/mig2019
MEDI,MEDI 2019,Toulouse,France,2019-10-28,2019-10-31,2019,http://portal.confref.org/list/medi2019a
ISRM,ISRM 2019,Taipei,Taiwan,2019-10-28,2019-10-30,2019,http://portal.confref.org/list/isrm0
ICSOC,ICSOC 2019,Toulouse,France,2019-10-28,2019-10-31,2019,http://portal.confref.org/list/icsoc2019
EDOC,EDOC 2019,Paris,France,2019-10-28,2019-10-31,2019,http://portal.confref.org/list/edoc2019
DIS,DIS 2019,Split,Croatia,2019-10-28,2019-10-30,2019,http://portal.confref.org/list/dis2019
CSEI,CSEI 2019,Ambato,Ecuador,2019-10-28,2019-10-31,2019,http://portal.confref.org/list/csei2019
CIARP,CIARP 2019,Havana,Cuba,2019-10-28,2019-10-31,2019,http://portal.confref.org/list/ciarp2019
ATVA,ATVA 2019,Taipei,Taiwan,2019-10-28,2019-10-31,2019,http://portal.confref.org/list/atva2019
ASSETS,ASSETS 2019,Pittsburgh,United States of America,2019-10-28,2019-10-30,2019,http://portal.confref.org/list/assets2019
SOSP,SOSP 2019,Huntsville,Canada,2019-10-27,2019-10-30,2019,http://portal.confref.org/list/sosp2019
MICAI,MICAI 2019,Xalapa,Mexico,2019-10-27,2019-11-02,2019,http://portal.confref.org/list/micai2019
ITSC,ITSC 2019,Auckland,New Zealand,2019-10-27,2019-10-30,2019,http://portal.confref.org/list/itsc2019
Broadnets,Broadnets 2019,Xi'an,People's Republic of China,2019-10-27,2019-10-28,2019,http://portal.confref.org/list/broadnets2019
SEMWEB,SEMWEB 2019,Auckland,New Zealand,2019-10-26,2019-10-30,2019,http://portal.confref.org/list/semweb2019
CISC,CISC 2019,Haikou,China,2019-10-26,2019-10-27,2019,http://portal.confref.org/list/chinsyco2019a
AISI,AISI 2019,Cairo,Egypt,2019-10-26,2019-10-28,2019,http://portal.confref.org/list/aisi2019
CANS,CANS 2019,Fuzhou,China,2019-10-25,2019-10-27,2019,http://portal.confref.org/list/cans2019
ALDT,ALDT 2019,Durham,USA,2019-10-25,2019-10-27,2019,http://portal.confref.org/list/aldt2019
FTC,FTC 2019,"San Francisco, CA",USA,2019-10-24,2019-10-25,2019,http://portal.confref.org/list/ftc2019
WIPSCE,WIPSCE 2019,Glasgow,United Kingdom,2019-10-23,2019-10-25,2019,http://portal.confref.org/list/wipsce2019
SMAT  ,SMAT   2019,Romania,Romania,2019-10-23,2019-10-23,2019,http://portal.confref.org/list/smat2019
SecureComm,SecureComm 2019,"Orlando, VA",USA,2019-10-23,2019-10-25,2019,http://portal.confref.org/list/securecomm2019
EUROVR,EUROVR 2019,Tallinn,Estonia,2019-10-23,2019-10-25,2019,http://portal.confref.org/list/eurovr2019
CIMPS,CIMPS 2019,Guanajuato,Mexico,2019-10-23,2019-10-25,2019,http://portal.confref.org/list/cimps0
CCIA,CCIA 2019,Mallorca,Spain,2019-10-23,2019-10-25,2019,http://portal.confref.org/list/ccia2019
SSS,SSS 2019,Pisa,Italy,2019-10-22,2019-10-25,2019,http://portal.confref.org/list/sss2019a
IOT,IOT 2019,Bilbao,Spain,2019-10-22,2019-10-25,2019,http://portal.confref.org/list/iot2019
IHC,IHC 2019,Vitoria,Brazil,2019-10-22,2019-10-25,2019,http://portal.confref.org/list/ihc2019
FMCAD,FMCAD 2019,San Jose,United States of America,2019-10-22,2019-10-25,2019,http://portal.confref.org/list/fmcad2019
CSAE,CSAE 2019,Sanya,China,2019-10-22,2019-10-24,2019,http://portal.confref.org/list/csae2019
CHIPLAY,CHIPLAY 2019,Barcelona,Spain,2019-10-22,2019-10-25,2019,http://portal.confref.org/list/chiplay2019
SMARTGRIDCOMM,SMARTGRIDCOMM 2019,Beijing,People's Republic of China,2019-10-21,2019-10-23,2019,http://portal.confref.org/list/smartgridcomm2019
RCAI,RCAI 2019,Ulyanovsk,Russia,2019-10-21,2019-10-25,2019,http://portal.confref.org/list/rcai2019
PPPJ,PPPJ 2019,Athens,Greece,2019-10-21,2019-10-22,2019,http://portal.confref.org/list/pppj2019
OTM,OTM 2019,Rhodes,Greece,2019-10-21,2019-10-25,2019,http://portal.confref.org/list/otm2019
MOBICOM,MOBICOM 2019,Los Cabos,Mexico,2019-10-21,2019-10-25,2019,http://portal.confref.org/list/mobicom2019
MM,MM 2019,Nice,France,2019-10-21,2019-10-25,2019,http://portal.confref.org/list/mm2019
MASCOTS,MASCOTS 2019,Rennes,France,2019-10-21,2019-10-25,2019,http://portal.confref.org/list/mascots2019
IMC,IMC 2019,Amsterdam,The Netherlands,2019-10-21,2019-10-23,2019,http://portal.confref.org/list/imc2019
GPCE,GPCE 2019,Athens,Greece,2019-10-21,2019-10-22,2019,http://portal.confref.org/list/gpce2019
D-Lab,D-Lab 2019,Eindhoven,Netherlands,2019-10-21,2019-10-22,2019,http://portal.confref.org/list/d-lab2019
AFT,AFT 2019,Zürich,Switzerland,2019-10-21,2019-10-23,2019,http://portal.confref.org/list/aft2019
UIST,UIST 2019,New Orleans,United States of America,2019-10-20,2019-10-23,2019,http://portal.confref.org/list/uist2019
SLE,SLE 2019,Athens,Greece,2019-10-20,2019-10-22,2019,http://portal.confref.org/list/sle2019
ICQE,ICQE 2019,"Madison, WI",USA,2019-10-20,2019-10-22,2019,http://portal.confref.org/list/icqe2019
DLS,DLS 2019,Athens,Greece,2019-10-20,2019-10-20,2019,http://portal.confref.org/list/dls2019
SUI,SUI 2019,New Orleans,United States of America,2019-10-19,2019-10-20,2019,http://portal.confref.org/list/sui2019
MMESE,MMESE 2019,Shanghai,People's Republic of China,2019-10-19,2019-10-21,2019,http://portal.confref.org/list/mmese2019
LORI,LORI 2019,Chongqing,China,2019-10-18,2019-10-21,2019,http://portal.confref.org/list/lori2019
HIS2,HIS2 2019,Xi'an,People's Republic of China,2019-10-18,2019-10-20,2019,http://portal.confref.org/list/his22019
CNCL,CNCL 2019,Kunming,China,2019-10-18,2019-10-20,2019,http://portal.confref.org/list/cncl2019
RSP,RSP 2019,New York City,United States of America,2019-10-17,2019-10-18,2019,http://portal.confref.org/list/rsp2019
ROCHI,ROCHI 2019,Bucharest,Romania,2019-10-17,2019-10-18,2019,http://portal.confref.org/list/rochi2019
OMIA,OMIA 2019,Shenzhen,People's Republic of China,2019-10-17,2019-10-17,2019,http://portal.confref.org/list/omia2019
NOCS,NOCS 2019,New York City,United States of America,2019-10-17,2019-10-18,2019,http://portal.confref.org/list/nocs2019
MLMIR,MLMIR 2019,Shenzhen,People's Republic of China,2019-10-17,2019-10-17,2019,http://portal.confref.org/list/mlmir2019
ISCIDE,ISCIDE 2019,Nanjing,People's Republic of China,2019-10-17,2019-10-20,2019,http://portal.confref.org/list/iscide2019
ICTINNOVATIONS,ICTINNOVATIONS 2019,Ohrid,North Macedonia,2019-10-17,2019-10-19,2019,http://portal.confref.org/list/ictinnovations2019
GLMI,GLMI 2019,Shenzhen,People's Republic of China,2019-10-17,2019-10-17,2019,http://portal.confref.org/list/glmi2019a
AIRT,AIRT 2019,Shenzhen,People's Republic of China,2019-10-17,2019-10-17,2019,http://portal.confref.org/list/airt2019
AIAM,AIAM 2019,Dublin,United States of America,2019-10-17,2019-10-19,2019,http://portal.confref.org/list/aiam2019
WEA,WEA 2019,Santa Marta,Colombia,2019-10-16,2019-10-18,2019,http://portal.confref.org/list/woea2019
WEA2,WEA2 2019,Santa Marta,Colombia,2019-10-16,2019-10-18,2019,http://portal.confref.org/list/wea22019
WCQR,WCQR 2019,Porto,Portugal,2019-10-16,2019-10-18,2019,http://portal.confref.org/list/wcqr2019
VipIMAGE,VipIMAGE 2019,Porto,Portugal,2019-10-16,2019-10-18,2019,http://portal.confref.org/list/viplmage2019
TIME,TIME 2019,Málaga,Spain,2019-10-16,2019-10-19,2019,http://portal.confref.org/list/time2019
IMBSA,IMBSA 2019,Thessaloniki,Greece,2019-10-16,2019-10-18,2019,http://portal.confref.org/list/imbsa2019
ICALP2,ICALP2 2019,Nancy,France,2019-10-16,2019-10-17,2019,http://portal.confref.org/list/icalp22019
ICALP,ICALP 2019,Nancy,France,2019-10-16,2019-10-17,2019,http://portal.confref.org/list/aicalp2019
TOOLS,TOOLS 2019,Innopolis,Russia,2019-10-15,2019-10-17,2019,http://portal.confref.org/list/tools2019
PTS,PTS 2019,Paris,France,2019-10-15,2019-10-17,2019,http://portal.confref.org/list/pts2019
IIRTS,IIRTS 2019,Koszalin,Poland,2019-10-15,2019-10-18,2019,http://portal.confref.org/list/iirts2019
