acronym,startDate,endDate,year,city,country,seriesTitle,url,label
ACISP 2014,2014/7/7,2014/7/9,2014,Wollongong,Australia,Australasian Conference on Information Security and Privacy,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=40064,wikiCfp
ACISP 2014,2014/7/7,2014/7/9,2014,Wollongong,Australia,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106242946,wikiData
ACISP 2014,2014/7/7,2014/7/9,2014,,,"Information Security and Privacy - 19th Australasian Conference, ACISP 2014, Wollongong, NSW, Australia, July 7-9, 2014. Proceedings",https://dblp.org/db/conf/acisp/acisp2014.html,dblp
ACISP 2015,2015/6/29,2015/7/1,2015,Brisbane,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2015,confRef
ACISP 2015,2015/6/29,2015/7/1,2015,Brisbane,Australia,Australasian Conference on Information Security and Privacy,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=43473,wikiCfp
ACISP 2015,2015/6/29,2015/7/1,2015,Brisbane,Australia,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106242945,wikiData
ACISP 2015,,,2015,,,"Information Security and Privacy - 20th Australasian Conference, ACISP 2015, Brisbane, QLD, Australia, June 29 - July 1, 2015, Proceedings",https://dblp.org/db/conf/acisp/acisp2015.html,dblp
ACISP 2016,2016/7/4,2016/7/6,2016,Melbourne,Australia,Australasian Conference on Information Security and Privacy,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=47130,wikiCfp
ACISP 2016,2016/7/4,2016/7/6,2016,Melbourne,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2016,confRef
ACISP (1) 2017,2017/7/3,2017/7/5,2017,Auckland,New Zealand,"Information Security and Privacy - 22nd Australasian Conference, ACISP 2017, Auckland, New Zealand, July 3-5, 2017, Proceedings, Part I",https://dblp.org/db/conf/acisp/acisp2017-1.html,dblp
ACISP 2017,2017/7/3,2017/7/5,2017,Auckland,New Zealand,Australasian Conference on Information Security and Privacy,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=58319,wikiCfp
ACISP 2017,2017/7/3,2017/7/5,2017,Auckland,New Zealand,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2017,confRef
ACISP 2017,2017/7/3,2017/7/5,2017,Auckland,New Zealand,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106067051,wikiData
ACISP 2018,2018/7/11,2018/7/13,2018,Wollongong,Australia,Australasian Conference on Information Security and Privacy,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=70654,wikiCfp
ACISP 2018,2018/7/11,2018/7/13,2018,Wollongong,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2018,confRef
ACISP 2018,2018/7/11,2018/7/13,2018,,,"Information Security and Privacy - 23rd Australasian Conference, ACISP 2018, Wollongong, NSW, Australia, July 11-13, 2018, Proceedings",https://dblp.org/db/conf/acisp/acisp2018.html,dblp
ACISP 2019,2019/7/3,2019/7/5,2019,Christchurch,New Zealand,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2019,confRef
ACISP 2019,2019/7/3,2019/7/5,2019,,New Zealand,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106242943,wikiData
ACISP 2019,2019/7/3,2019/7/5,2019,,,"Information Security and Privacy - 24th Australasian Conference, ACISP 2019, Christchurch, New Zealand, July 3-5, 2019, Proceedings",https://dblp.org/db/conf/acisp/acisp2019.html,dblp
ACISP 2019,2019/7/3,2019/7/5,2019,Christchurch,New Zealand,Australasian Conference on Information Security and Privacy,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=79124,wikiCfp
ACISP 2020,2020/11/30,2020/12/2,2020,,Australia,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106242942,wikiData
ACISP 2020,,,2020,,,"Information Security and Privacy - 25th Australasian Conference, ACISP 2020, Perth, WA, Australia, November 30 - December 2, 2020, Proceedings",https://dblp.org/db/conf/acisp/acisp2020.html,dblp
