acronym,startDate,endDate,year,city,country,seriesTitle,url,label
AAAI 2016,2016/2/12,2016/2/17,2016,,,"Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, February 12-17, 2016, Phoenix, Arizona, USA.",https://dblp.org/db/conf/aaai/aaai2016.html,dblp
AAAI 2017,2017/2/4,2017/2/9,2017,,,"Proceedings of the Thirty-First AAAI Conference on Artificial Intelligence, February 4-9, 2017, San Francisco, California, USA.",https://dblp.org/db/conf/aaai/aaai2017.html,dblp
AAAI 2017,2017/2/4,2017/2/9,2017,San Francisco,United States of America,AAAI Conference on Artificial Intelligence,http://portal.confref.org/list/aaai2017,confRef
AAAI 2017,2017/2/4,2017/2/9,2017,San Francisco,United States of America,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109518201,wikiData
AAAI 2017,2017/2/4,2017/2/9,2017,San Francisco,United States of America,National Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=54779,wikiCfp
AAAI 2018,2018/2/2,2018/2/7,2018,New Orleans,United States of America,National Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=63229,wikiCfp
AAAI 2018,2018/2/2,2018/2/7,2018,New Orleans,United States of America,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109518202,wikiData
AAAI 2018,2018/2/2,2018/2/7,2018,,,"Proceedings of the Thirty-Second AAAI Conference on Artificial Intelligence, (AAAI-18), the 30th innovative Applications of Artificial Intelligence (IAAI-18), and the 8th AAAI Symposium on Educational Advances in Artificial Intelligence (EAAI-18), New Orleans, Louisiana, USA, February 2-7, 2018",https://dblp.org/db/conf/aaai/aaai2018.html,dblp
AAAI 2018,2018/2/2,2018/2/7,2018,New Orleans,United States of America,AAAI Conference on Artificial Intelligence,http://portal.confref.org/list/aaai2018,confRef
AAAI 2019,2019/1/27,2019/2/27,2019,Honolulu,United States of America,AAAI Conference on Artificial Intelligence,http://portal.confref.org/list/aaai2019,confRef
AAAI 2019,2019/1/27,2019/2/1,2019,Honolulu,United States of America,National Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=75888,wikiCfp
AAAI 2020,2020/2/7,2020/2/12,2020,,United States of America,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q65769858,wikiData
AAAI 2020,2020/2/7,2020/2/12,2020,,,"The Thirty-Fourth AAAI Conference on Artificial Intelligence, AAAI 2020, The Thirty-Second Innovative Applications of Artificial Intelligence Conference, IAAI 2020, The Tenth AAAI Symposium on Educational Advances in Artificial Intelligence, EAAI 2020, New York, NY, USA, February 7-12, 2020.",https://dblp.org/db/conf/aaai/aaai2020.html,dblp
AAAI 2020,2020/2/7,2020/2/12,2020,City of York,United Kingdom,National Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=90881,wikiCfp
AAAI 2021,2021/2/2,2021/2/9,2021,Vancouver,Canada,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109518203,wikiData
AAAI 2021,2021/2/2,2021/2/9,2021,Vancouver,Canada,National Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=104535,wikiCfp
AAAI 2021,2021/2/2,2021/2/9,2021,,,"Thirty-Fifth AAAI Conference on Artificial Intelligence, AAAI 2021, Thirty-Third Conference on Innovative Applications of Artificial Intelligence, IAAI 2021, The Eleventh Symposium on Educational Advances in Artificial Intelligence, EAAI 2021, Virtual Event, February 2-9, 2021",https://dblp.org/db/conf/aaai/aaai2021.html,dblp
